Year,State,Poverty,Annual_income,Demograph,Nitrate,Radium,Population,Cancer Cases
2009,Wisconsin,12.4,49994,5669264,1.351810219,1.752344961,3992073,1073
2010,Arizona,17.6,46787,6407342,2.151147776,0.406767677,6395258,848
2010,California,15.8,57664,37319550,1.874901685,0.7465,41032941,5017
2010,Colorado,13.2,54411,5047539,0.959805285,3.536142857,6009118,722
2010,Connecticut,10.1,64321,3579173,1.231957364,0.704056848,2664364,653
2010,Delaware,11.9,56172,899647,2.180855615,1.166625,917721,140
2010,Florida,16.5,44390,18846143,0.581339806,0.9836,19236835,3827
2010,Iowa,12.5,48031,3050819,1.216625835,2.226148148,2698490,591
2010,Kentucky,18.9,40089,4348464,0.836733068,0.811176471,4532689,751
2010,Maine,13.1,45882,1327651,0.537972973,1.47875,665484,306
2010,Maryland,9.9,68933,5788784,1.296164384,1.556571429,5200014,760
2010,Minnesota,11.5,55422,5310934,0.643833693,1.755399061,4236512,1002
2010,Missouri,15.3,44306,5996089,0.230625536,1.781897436,4670953,945
2010,New Hampshire,8.6,60917,1316807,0.431431034,1.284222222,855359,208
2010,New Jersey,10.2,67719,8799451,1.238223684,2.821690141,9016086,1573
2010,New Mexico,19.8,42186,2064614,1.067927928,0.860309278,1830248,307
2010,New York,15,54047,19399956,0.791393245,1.54,18323940,3493
2010,North Carolina,17.4,43417,9574586,1.13088411,1.317117347,7891488,1507
2010,Oregon,15.8,46536,3837614,0.993311938,0.753367347,3792346,525
2010,Rhode Island,14.1,52053,1053994,0.994242424,1.529473684,916083,189
2010,South Carolina,18.1,42117,4635846,0.646080178,1.91122807,3860152,650
2010,Utah,13.3,54740,2775413,0.940848329,0.606570048,2698591,348
2010,Vermont,12.4,49393,625886,0.465328638,1.304761905,443471,113
2010,Washington,13.5,55584,6743009,1.213104435,2.332807018,5576823,1063
2010,West Virginia,18.2,38241,1854265,0.829244604,1.024117647,1332530,346
2010,Wisconsin,13.2,48974,5690538,1.100130641,2.148055556,3992228,1172
2011,Arizona,19,46710,6473416,2.123195435,0.568211382,6399145,918
2011,California,16.6,57275,37636311,1.86188345,0.835454545,41029373,4886
2011,Colorado,13.4,55530,5121900,0.957696629,1.703451777,6009118,756
2011,Connecticut,10.8,65822,3588632,1.270637066,0.797297297,2664364,709
