Year,State,Poverty,Cases,Annual_income,Demograph,COPD
2004,New Mexico,16.7,1910.0,37838,1903808,28995.966101694914
2004,New York,14.5,41325.0,45343,19171567,28995.966101694914
2004,North Carolina,13.8,10745.0,40863,8553152,28995.966101694914
2004,North Dakota,10.8,8965.707259953162,39233,644705,28995.966101694914
2004,Ohio,11.7,8965.707259953162,43371,11452251,28995.966101694914
2004,Oklahoma,14.0,8965.707259953162,37109,3525233,28995.966101694914
2004,Oregon,12.9,2151.0,42568,3569463,28995.966101694914
2004,Pennsylvania,11.2,22054.0,43714,12410722,28995.966101694914
2004,Rhode Island,11.6,8965.707259953162,47037,1074579,28995.966101694914
2004,South Carolina,15.0,6575.0,39454,4210921,18758.0
2004,South Dakota,12.9,8965.707259953162,39265,770396,28995.966101694914
2004,Tennessee,15.0,8058.0,38945,5910809,28995.966101694914
2004,Texas,16.2,8965.707259953162,41645,22394023,28995.966101694914
2004,Utah,10.3,1466.0,47224,2401580,3386.0
2004,Vermont,8.7,362.0,44548,619920,2578.0
2004,Virginia,9.5,8965.707259953162,51103,7475575,28995.966101694914
2004,Washington,11.6,4597.0,48438,6178645,28995.966101694914
2004,West Virginia,16.2,8965.707259953162,33993,1816438,28995.966101694914
2004,Wisconsin,10.9,5378.0,46142,5514026,15446.0
2004,Wyoming,10.3,8965.707259953162,43785,509106,28995.966101694914
2005,Alabama,16.9,8965.707259953162,36936,4569805,28995.966101694914
2005,Alaska,10.8,8965.707259953162,55477,666946,28995.966101694914
2005,Arizona,14.4,7115.0,44402,5839077,16679.0
2005,Arkansas,17.2,8965.707259953162,35041,2781097,28995.966101694914
2005,California,13.3,35853.0,53627,35827943,105386.0
2005,Colorado,10.9,4357.0,50841,4631888,28995.966101694914
2005,Connecticut,8.3,4608.0,60840,3506956,9526.0
2005,Delaware,10.3,8965.707259953162,52508,845150,28995.966101694914
2005,District of Columbia,18.3,8965.707259953162,48078,567136,28995.966101694914
2005,Florida,12.8,27754.0,42437,17842038,86742.0
2005,Georgia,14.5,8965.707259953162,45564,8925922,28995.966101694914
2005,Hawaii,9.9,8965.707259953162,56133,1292729,28995.966101694914
2005,Idaho,13.4,8965.707259953162,41269,1428241,28995.966101694914
2005,Illinois,12.0,8965.707259953162,50270,12609903,28995.966101694914
2005,Indiana,12.2,8965.707259953162,44051,6278616,28995.966101694914
2005,Iowa,10.8,2409.0,43610,2964454,41567.0
2005,Kansas,11.7,3239.0,42861,2745299,28995.966101694914
2005,Kentucky,16.9,7710.0,37377,4182742,28995.966101694914
