Year,State,Poverty,Cases,Annual_income,Demograph,CO,O3,PM2.5
2006,New Hampshire,8,1010,59265,1308389,0.475,0.041589286,7.65
2006,New Jersey,8.7,15502,64549,8661679,0.454545455,0.047916667,9.490909091
2006,New Mexico,18.3,1797,40610,1962137,0.277272727,0.045802083,6.485714286
2006,New York,14.2,39638,51340,19104631,0.409090909,0.0425,8.742857143
2006,North Carolina,14.6,10533,42721,8917270,0.4977,0.052586957,12.48214286
2006,Oregon,13.4,2220,46228,3670883,0.6,0.03928125,7.193103448
2006,Pennsylvania,12,23711,46256,12510809,0.248148148,0.046569444,11.83023256
2006,Rhode Island,11.5,1464,51324,1063096,0.45,0.046083333,8.583333333
2006,South Carolina,15.7,6109,41204,4357847,0.275,0.05227381,12.53478261
2006,Tennessee,16.1,8053,40368,6088766,0.475,0.052090278,13.00396825
2006,Utah,10.7,1292,51373,2525507,0.528571429,0.060409091,7.2
2006,Vermont,10.2,360,47778,622892,0.35,0.044125,6.6
2006,Washington,11.8,4510,52571,6370753,0.67,0.0404375,7.325
2006,Wisconsin,10.9,5071,48784,5577655,0.3,0.044022727,10.13103448
2007,Arizona,14.1,6735,49923,6167681,0.380952381,0.050891304,8.782352941
2007,California,12.4,32156,59928,36250311,0.341148649,0.043913953,9.332170543
2007,Colorado,11.5,4083,55517,4803868,0.4,0.056617188,7.666666667
2007,Connecticut,7.9,4841,65969,3527270,0.483071429,0.047211538,9.26
2007,Florida,12.1,26802,47804,18367842,0.4695,0.047325,7.665546218
2007,Iowa,11,2190,47324,2999212,0.228833333,0.043134615,10.18571429
2007,Kansas,11.2,2941,47341,2783785,0.366666667,0.0464,9.766666667
2007,Kentucky,17.2,6302,40299,4256672,0.575,0.052833333,12.76036036
2007,Louisiana,18.8,5700,40866,4375581,0.37,0.041822917,10.878125
2007,Maine,12.2,998,45832,1327040,0.1515,0.039289474,3.9
2007,Maryland,8.3,9776,67989,5653408,0.344875,0.05255,12.18823529
2007,Massachusetts,10,9385,62383,6431559,0.32,0.04590625,8.9
2007,Michigan,13.9,15393,47931,10001284,0.216666667,0.047658333,11.1969697
2007,Minnesota,9.5,4793,55664,5207203,0.192857143,0.042265625,7.263636364
2007,Missouri,13.3,7610,45012,5887612,0.4,0.050302632,12.14411765
2007,New Hampshire,7.3,1075,62048,1312540,0.5,0.041303571,7.2
2007,New Jersey,8.5,15137,67142,8677885,0.368181818,0.048483333,11.6
2007,New Mexico,17.9,1874,41509,1990070,0.244444444,0.047442308,5.921428571
2007,New York,13.8,37780,53448,19132335,0.411538462,0.043559211,10.26451613
2007,North Carolina,14.3,10513,44772,9118037,0.4264,0.055923913,11.94117647
2007,Oregon,13,2391,48735,3722417,0.475,0.037475,5.710526316
